GameID,Team,Sets Won,Sets Lost,Attack,Kill,AttackError,Hitting Percentage,Assist,ServiceError,Ace,Dig,Block,Blocking Error,SideOutPct,PointScoringPct
1,SFU,0,3,73,24,12,0.164,23,15,5,16,4,0,54.10%,32.80%
1,BYU,3,0,84,42,16,0.31,39,12,5,30,7,1,67.20%,45.90%
2,SFU,0,3,79,34,21,0.165,30,20,4,24,2,3,58.90%,22.40%
2,BYU,3,0,62,28,4,0.387,23,14,3,18,7,3,77.60%,41.10%
3,UCSD,0,3,69,36,16,0.29,35,17,6,14,2,1,60.30%,24.60%
3,BYU,3,0,63,35,6,0.46,31,10,6,13,7,1,75.40%,39.70%
4,UCSD,1,3,97,45,24,0.216,44,21,8,18,9,2,59%,35.50%
4,BYU,3,1,89,48,19,0.326,44,19,5,18,16,3,64.50%,41%
5,BYU,3,0,80,38,12,0.325,35,14,6,22,5,2,72.70%,37.80%
5,UCSB,0,3,91,35,19,0.176,30,12,2,21,4,0,62.20%,27.30%
6,Menlo,0,3,83,37,16,0.253,35,10,3,21,5,0,56.80%,29.50%
6,BYU,3,0,87,44,15,0.333,41,5,5,25,6,1,70.50%,43.20%
7,Menlo,0,3,83,33,19,0.169,32,10,1,29,5,1,59.50%,21.10%
7,BYU,3,0,81,38,9,0.358,34,13,8,25,8,1,78.90%,40.50%
8,FVS,0,3,61,23,11,0.197,21,11,0,17,6,1,53.40%,18%
8,BYU,3,0,77,46,10,0.468,40,15,7,22,5,0,82%,46.60%
9,FVS,0,3,74,33,16,0.23,32,19,2,20,3,1,57.50%,20%
9,BYU,3,0,65,39,5,0.523,31,12,1,18,10,5,80%,42.50%
10,BYU,1,3,101,52,13,0.386,52,17,8,29,4,2,58.60%,31.40%
10,HAW,3,1,113,63,11,0.46,56,13,8,33,7,1,68.60%,41.40%
11,BYU,0,3,82,31,16,0.183,30,10,0,18,5,3,56.80%,23.20%
11,HAW,3,0,74,43,10,0.446,41,14,6,29,8,1,76.80%,43.20%
12,BYU,1,3,117,55,24,0.265,50,20,2,34,6,2,68.60%,26.80%
12,STA,3,1,108,51,18,0.306,49,21,8,30,10,0,73.20%,31.40%
13,BYU,2,3,139,64,21,0.309,60,19,3,44,7,2,66.10%,29.80%
13,STA,3,2,130,61,17,0.338,58,19,9,45,9,1,70.20%,33.90%
14,CUI,0,3,73,34,18,0.219,31,16,1,16,1,1,57.50%,18.50%
14,BYU,4,0,63,35,6,0.46,31,11,5,16,9,4,81.50%,42.50%
15,CUI,0,3,72,30,14,0.222,30,14,6,17,3,0,57.50%,22.80%
15,BYU,3,0,65,38,6,0.492,36,13,9,18,3,0,77.20%,42.50%
16,PEP,3,1,84,45,10,0.417,45,25,5,25,10,1,69.40%,37.60%
16,BYU,1,3,93,42,21,0.226,40,22,6,24,5,1,62.40%,30.60%
17,PEP,3,1,102,55,13,0.412,53,25,5,27,6,2,75.60%,28.70%
17,BYU,1,3,97,44,18,0.268,41,14,5,30,6,2,71.30%,24.40%
18,BYU,3,0,79,34,11,0.291,31,14,8,37,7,2,77.80%,45.20%
18,VAN,0,3,91,24,17,0.077,22,15,3,29,3,1,54.80%,22.20%
19,BYU,3,0,87,35,10,0.287,31,18,6,33,12,1,74.20%,39.70%
19,VAN,0,3,86,27,21,0.07,25,12,5,37,6,0,60.30%,25.80%
20,USC,1,3,119,46,22,0.202,44,13,4,35,13,3,62.60%,33.70%
20,BYU,3,1,125,62,21,0.328,61,23,3,37,8,1,66.30%,37.40%
21,USC,3,2,117,60,23,0.316,57,14,4,27,8,3,70%,27.40%
21,BYU,2,3,127,68,19,0.386,67,22,5,24,8,3,72.60%,30%
22,BYU,1,3,92,40,17,0.25,36,9,6,24,6,1,57.10%,29.70%
22,UCLA,3,1,95,56,11,0.474,55,16,10,30,9,2,70.30%,42.90%
23,BYU,1,3,90,42,22,0.222,42,16,4,22,8,4,66%,28.60%
23,UCLA,3,1,97,50,20,0.309,48,23,10,22,11,1,71.40%,34%
