Country,Played,Win,Loss,Points,Sets Won,Sets Lost,Set Ratio,Setpoints Won,Setpoints Lost,SPR
United States,12,10,2,31,33,7,4.714,986,871,1.132
Japan,12,10,2,27,31,16,1.938,1109,1034,1.073
Poland,12,10,2,25,30,19,1.579,1108,1057,1.048
Italy,12,9,3,26,28,15,1.867,1016,906,1.121
Argentina,12,9,3,26,32,18,1.778,1184,1092,1.084
Brazil,12,8,4,25,30,18,1.667,1108,1033,1.073
Slovenia,12,8,4,25,27,17,1.588,1036,997,1.039
France,12,6,6,18,23,21,1.095,1046,1007,1.039
Serbia,12,6,6,16,23,23,1,1045,1056,0.99
Netherlands,12,5,7,17,22,24,0.917,1028,1054,0.975
Germany,12,3,9,10,16,28,0.571,963,1036,0.93
Canada,12,3,9,9,15,31,0.484,983,1074,0.915
Cuba,12,3,9,8,15,33,0.455,1023,1119,0.914
Iran,12,2,10,11,16,31,0.516,995,1073,0.927
Bulgaria,12,2,10,8,13,32,0.406,957,1045,0.916
China,12,2,10,6,12,33,0.364,941,1074,0.876
